a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
acpi 1.7-1
acpid 2.0.28-1
adwaita-icon-theme 3.22.0-1
aic94xx-firmware 30-9
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.2-1
apulse 0.1.7-1
arc-gtk-theme 20161119-1
archlinux-keyring 20161201-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attica-qt4 0.4.2-3
attr 2.4.47-2
audacity 2.1.2-3
autoconf 2.69-4
autohidewibox 0.4-3
automake 1.15-2
avahi 0.6.32-2
awesome 3.5.9-1
babl 0.1.18-1
banshee 2.6.2-9
baobab 3.22.1-1
bash 4.4.005-1
bc 1.06.95-3
bind-tools 9.11.0.P1-2
binutils 2.27-1
bison 3.0.4-2
blas 3.6.1-2
bless 0.6.0-4
blueberry 1.1.5-1
bluez 5.43-2
bluez-cups 5.43-2
bluez-firmware 1.2-8
bluez-libs 5.43-2
bluez-utils 5.43-2
boost-libs 1.62.0-4
bower 1.8.0-1
bwm-ng 0.6.1-2
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cairo 1.14.6-2
cairo-perl 1.106-2
cairomm 1.12.0-2
cbatticon 1.6.4-1
cblas 3.6.1-2
ccache 3.3.3-1
cdparanoia 10.2-5
celt 0.11.3-2
cheese 3.22.1-1
chromaprint 1.3.2-1
chromium 54.0.2840.100-1
cifs-utils 6.5-1
claws-mail 3.14.1-1
claws-mail-themes 20131119-1
clucene 2.3.3.4-9
clutter 1.26.0+24+g79da526-1
clutter-gst 3.0.20+5+ga71607b-1
clutter-gtk 1.8.2-1
cmake 3.6.3-1
codeblocks 16.01-7
cogl 1.22.2-1
colord 1.3.4-1
compface 1.5.2-7
composer 1.2.3-1
compositeproto 0.4.2-3
confuse 3.0-1
conky 1.10.5-1
coreutils 8.25-2
cowsay 3.03-9
cracklib 2.9.6-1
cryptsetup 1.7.3-1
cups 2.2.1-1
cups-filters 1.11.6-2
curl 7.51.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.108-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dcadec 0.2.0-1
dconf 0.26.0-2
deluge 1.3.13+2+g6c73105-1
desktop-file-utils 0.23-1
device-mapper 2.02.167-2
dhclient 4.3.5-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
djvulibre 3.5.27-3
dkms 2.3-1
dmd 1:2.072.1-1
dmxproto 2.3.1-3
dnsmasq 2.76-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
dotconf 1.3-4
doxygen 1.8.12-1
dri2proto 2.8-2
dri3proto 1.0-1
dropbox 15.4.22-1
dtools 2.071.0-2
e2fsprogs 1.43.3-1
elfutils 0.167-1
enchant 1.6.0-10
eom 1.16.0-1
etherape 0.9.14-1
ethtool 1:4.8-1
evince2-light 2.32.0-7
exempi 2.3.0-1
exiv2 0.25-3
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
farstream 0.2.8-1
fdupes 1:1.6.1-1
feh 2.18-1
ffmpeg 1:3.2.1-1
ffmpeg2.8 2.8.8-1
fftw 3.3.5-1
file 5.29-1
file-roller 3.22.2-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 50.0.2-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.1-1
fluidsynth 1.1.6-5
fontconfig 2.12.1-3
fonts-tlwg 0.6.3-1
fontsproto 2.1.3-1
freeglut 3.0.0-1
freerdp 1:1.2.0_20160606-1
freetype2 2.7-2
frei0r-plugins 1.4-4
fribidi 0.19.7-1
ftgl 2.1.3rc5-9
fuse 2.9.7-1
gamin 0.1.10-8
gavl 1.4.0-2
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 6.2.1-1
gcc-multilib 6.2.1-1
gconf 3.2.6-5
gconf-sharp 2.24.2-4
gconfmm 2.28.3-3
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdata-sharp 1.7.0.1-3
gdbm 1.12-2
gdk-pixbuf2 2.36.0+2+ga7c869a-1
geary 0.11.2-1
geeqie 1.3-1
gegl02 0.2.0-4
geoclue2 2.4.4-2
geoip 1.6.9-1
geoip-database 20161004-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giblib 1.2.4-6
giflib 5.1.4-1
